2026-03-20 15:50:27 status unpacked diffutils:armhf 1:3.8-4
2026-03-20 15:50:27 upgrade dpkg:armhf 1.21.22 1.21.22
2026-03-20 15:50:27 status half-configured dpkg:armhf 1.21.22
2026-03-20 15:50:27 status unpacked dpkg:armhf 1.21.22
2026-03-20 15:50:27 status half-installed dpkg:armhf 1.21.22
2026-03-20 15:50:28 status unpacked dpkg:armhf 1.21.22
2026-03-20 15:50:28 install e2fsprogs:armhf <none> 1.47.0-2+b2
2026-03-20 15:50:28 status half-installed e2fsprogs:armhf 1.47.0-2+b2
2026-03-20 15:50:29 status unpacked e2fsprogs:armhf 1.47.0-2+b2
2026-03-20 15:50:29 install findutils:armhf <none> 4.9.0-4
2026-03-20 15:50:29 status half-installed findutils:armhf 4.9.0-4
2026-03-20 15:50:29 status unpacked findutils:armhf 4.9.0-4
2026-03-20 15:50:29 install gcc-12-base:armhf <none> 12.2.0-14+deb12u1
2026-03-20 15:50:29 status half-installed gcc-12-base:armhf 12.2.0-14+deb12u1
2026-03-20 15:50:30 status unpacked gcc-12-base:armhf 12.2.0-14+deb12u1
2026-03-20 15:50:30 install gpgv:armhf <none> 2.2.40-1.1+deb12u2
2026-03-20 15:50:30 status half-installed gpgv:armhf 2.2.40-1.1+deb12u2
2026-03-20 15:50:30 status unpacked gpgv:armhf 2.2.40-1.1+deb12u2
2026-03-20 15:50:30 install grep:armhf <none> 3.8-5
2026-03-20 15:50:30 status half-installed grep:armhf 3.8-5
2026-03-20 15:50:31 status unpacked grep:armhf 3.8-5
2026-03-20 15:50:31 install gzip:armhf <none> 1.12-1
2026-03-20 15:50:31 status half-installed gzip:armhf 1.12-1
2026-03-20 15:50:31 status unpacked gzip:armhf 1.12-1
2026-03-20 15:50:31 install hostname:armhf <none> 3.23+nmu1
2026-03-20 15:50:31 status half-installed hostname:armhf 3.23+nmu1
2026-03-20 15:50:31 status unpacked hostname:armhf 3.23+nmu1
2026-03-20 15:50:32 install init-system-helpers:all <none> 1.65.2+deb12u1
2026-03-20 15:50:32 status half-installed init-system-helpers:all 1.65.2+deb12u1
2026-03-20 15:50:32 status unpacked init-system-helpers:all 1.65.2+deb12u1
2026-03-20 15:50:32 install libacl1:armhf <none> 2.3.1-3
2026-03-20 15:50:32 status half-installed libacl1:armhf 2.3.1-3
2026-03-20 15:50:32 status unpacked libacl1:armhf 2.3.1-3
2026-03-20 15:50:32 install libapt-pkg6.0:armhf <none> 2.6.1
2026-03-20 15:50:32 status half-installed libapt-pkg6.0:armhf 2.6.1
2026-03-20 15:50:33 status unpacked libapt-pkg6.0:armhf 2.6.1
2026-03-20 15:50:33 install libattr1:armhf <none> 1:2.5.1-4
2026-03-20 15:50:33 status half-installed libattr1:armhf 1:2.5.1-4
2026-03-20 15:50:33 status unpacked libattr1:armhf 1:2.5.1-4
2026-03-20 15:50:33 install libaudit-common:all <none> 1:3.0.9-1
2026-03-20 15:50:33 status half-installed libaudit-common:all 1:3.0.9-1
2026-03-20 15:50:34 status unpacked libaudit-common:all 1:3.0.9-1
2026-03-20 15:50:34 install libaudit1:armhf <none> 1:3.0.9-1
2026-03-20 15:50:34 status half-installed libaudit1:armhf 1:3.0.9-1
2026-03-20 15:50:34 status unpacked libaudit1:armhf 1:3.0.9-1
2026-03-20 15:50:34 install libblkid1:armhf <none> 2.38.1-5+deb12u3
2026-03-20 15:50:34 status half-installed libblkid1:armhf 2.38.1-5+deb12u3
2026-03-20 15:50:34 status unpacked libblkid1:armhf 2.38.1-5+deb12u3
